Rented Bike Count,Temperature,Humidity,Wind speed,Visibility,Dew point temperature,Solar Radiation
756,6.7,71,4.6,543,1.8,1.05
697,6,23,4.2,1990,-13.6,2
709,6.9,30,1.8,1994,-9.5,0.85
799,10.4,44,1.7,1235,-1.3,2.93
1023,20.5,37,4.6,1761,5.2,2.94
0,15.7,46,3.9,1132,4,3.05
969,17.5,20,4.6,2000,-5.7,3.07
1095,18.2,15,1.6,2000,-8.9,2.27
75,8.6,94,1.1,389,7.6,0.49
1105,12.5,53,3.4,1324,3.1,2.52
1052,15.5,33,2.5,1893,-0.7,3.1
1112,18,26,2.2,1459,-1.8,3.03
1047,16.5,17,3.3,1819,-8.6,3.13
919,17.8,21,2.7,1335,-4.8,2.79
1019,22.5,33,1.8,894,5.4,2.88
1130,24.3,14,3.3,1701,-4.9,3.19
631,18.9,44,0.9,1910,6.3,0.75
10,9,96,1.9,481,8.3,0.43
925,15.2,57,1.9,2000,6.7,1.33
1192,19.4,20,1.1,1663,-4.1,3.08
1197,19.6,36,2.2,962,4.1,2.55
1142,19.5,40,1.1,1055,5.5,2.89
1278,20.5,31,2.5,1485,2.7,3.18
1375,20.5,31,2.6,1299,2.7,2.79
1094,22.2,50,2,564,11.2,2.65
63,17.3,95,0.7,155,16.4,0.16
871,14.1,59,3.9,1870,6.1,1.12
1206,17.9,32,4.6,1874,0.9,3.28
1258,21.9,35,3.4,1586,5.7,2.74
71,15.7,96,1.1,568,15,0.5
1414,22.9,35,0.8,1948,6.6,3.05
1135,21.5,44,2.1,1986,8.7,3.15
1242,18.7,39,1.9,1925,4.4,3.21
0,19.8,49,2.3,1320,8.7,3.17
1161,20,47,1.4,685,8.3,3.08
11,12.3,97,0.8,238,11.8,0.14
1434,18.3,65,1.2,1489,11.5,2.4
1095,20,62,1.8,428,12.4,2.38
1058,26.3,36,1.1,1133,10,2.88
59,22.9,87,4,1497,20.6,0.22
467,21.7,96,0.8,1773,21,0.81
185,16.6,96,0.8,430,15.9,0.34
1573,20.5,42,2.1,2000,7.1,3.42
1313,18.8,31,1.2,2000,1.2,0.92
1373,21.8,31,2.1,2000,3.9,3.39
1216,20.1,37,4,1910,4.9,3.44
1087,22.1,36,5.3,1696,6.3,3.2
1082,24.4,24,2.9,1811,2.5,3.28
1285,26.2,31,1.2,1161,7.7,3.18
1404,23.4,38,2.8,1756,8.2,1.87
1139,26.3,44,1.8,2000,13,3.24
1184,23.1,64,2.6,1250,15.9,1.35
1187,23.2,64,3,1305,16,2.08
1134,23.7,44,1.3,1624,10.7,3.2
1076,28.2,34,2.6,1867,10.8,3.26
1253,28.3,30,3,1675,9,3.29
1134,28.7,27,1.7,1843,7.8,3.29
1152,26.3,36,3.1,1377,10,2.61
1111,28.2,35,1.2,1411,11.2,3.23
1099,25,56,3,715,15.6,3.19
1256,23.1,56,1.6,1222,13.8,1.71
1462,28.2,42,1.4,1563,14,2.84
1442,23.2,50,2.2,1988,12.1,2.45
1204,23.2,52,1.2,2000,12.7,0.82
1202,24,51,1.8,2000,13.2,2.29
1747,24.5,56,2.3,1094,15.1,1.74
945,21.2,75,0.7,876,16.5,1.07
1193,24.4,50,1.6,2000,13.2,3.07
1525,24.8,43,1.2,1943,11.3,3.27
1422,24.8,56,0.9,530,15.4,1.57
988,28.4,45,2.2,649,15.3,2.92
1224,25.8,48,1.5,1487,13.9,2.31
1252,25.2,53,3.3,976,14.9,3.38
1197,26.4,46,1.4,1103,13.8,3.26
1116,29.8,28,1.3,1777,9.3,3.21
1374,28.4,31,2.7,1849,9.6,2.93
1042,28.9,40,2.3,809,13.9,3.15
1039,29.8,42,2.1,1220,15.5,2.9
10,20.5,97,1.8,257,20,0.15
1145,24.1,73,2.2,992,18.9,2.15
1158,27,68,2,1863,20.5,1.3
1168,26.1,67,2.2,758,19.4,2.15
858,25.2,94,2.8,166,24.1,0.39
9,21.1,97,1.2,653,20.5,0.17
218,22.4,97,1,945,21.8,0.46
944,30.1,64,1.2,2000,22.5,2.54
1021,30.5,58,2.5,1741,21.2,2.26
996,27,68,1.1,1744,20.5,1.2
1216,25.7,57,1.9,2000,16.5,2.32
1328,26.4,47,1.7,2000,14.1,3.26
1237,25,46,1.9,1943,12.5,2.93
71,20.7,83,0.6,1244,17.7,0.32
1035,24.1,80,0.8,2000,20.4,0.72
964,28.1,73,2.1,1326,22.7,0.87
991,27.4,80,2.7,1083,23.6,0.97
1013,28.3,68,1.9,1546,21.8,1.35
1039,30.2,58,2.3,1359,21,2.64
803,30.1,58,1.6,1491,20.9,2.15
719,32.4,49,2,1844,20.3,3.09
803,30.8,57,2.3,940,21.2,2.52
780,31.2,51,2,1101,19.8,2.96
828,31.7,42,2.6,1868,17.2,3.23
822,32.6,51,2.1,800,21.1,3.21
735,34.2,35,1.8,1528,16.5,3.14
560,35.5,39,1.9,1803,19.4,3.05
655,34.1,47,2.3,1862,21.1,2.94
671,34.5,50,1.4,1901,22.5,1.89
791,31.1,60,2.7,1331,22.4,1.02
600,32,57,1.6,1075,22.4,1.94
714,33.7,53,1.9,990,22.7,2.5
632,33.6,62,1.9,820,25.3,1.35
644,33.8,47,1.7,1962,20.9,1.92
663,33.6,48,1.6,2000,21,1.89
626,35.2,39,1.2,2000,19.1,2.86
569,36.8,39,1.3,1944,20.5,2.8
562,36.6,41,2,1866,21.2,2.58
585,36.8,41,2.1,1759,21.3,2.53
640,33.2,52,2.5,1514,22,1.59
565,32.5,59,3.4,1780,23.4,2.33
613,33.2,59,2.6,1289,24,2.37
770,31.9,57,0.9,1981,22.3,1.28
629,34.1,46,1.6,1885,20.8,2.72
484,31.1,63,3,1795,23.2,1.14
721,33.4,47,1.3,2000,20.5,2.51
759,33.2,50,2.3,2000,21.3,2.84
670,33.8,44,2,1899,19.8,2.72
724,33.4,54,2.6,1648,22.8,2.09
699,33.9,49,1.5,1841,21.6,1.91
668,34.5,44,2.2,2000,20.4,3.19
904,30.3,30,1.9,1981,10.7,3.17
952,29.8,33,1.5,1936,11.7,3.14
926,30.9,37,1.8,1858,14.5,2.98
808,31.7,45,2.5,1814,18.3,1.96
848,25.7,74,3.4,1951,20.7,1.16
784,33.9,45,1.4,1923,20.2,2.95
769,31.9,49,1.9,2000,19.8,1.85
355,25.8,81,3.2,1828,22.2,0.8
1070,27.9,55,2.9,1922,18,1.49
1070,28.9,42,2,1975,14.6,2.5
137,22.6,90,1.4,1963,20.8,1.02
25,25.2,89,1.4,340,23.2,0.32
648,27.4,72,4.2,1989,21.8,0.54
768,27,74,2.5,915,21.9,0.94
982,27.8,47,2.9,1905,15.4,2.99
1086,28.9,46,1.6,1966,16.1,2.96
1075,27.5,43,1.4,1959,13.7,2.75
673,23.9,83,1.1,1901,20.8,0.27
995,25.8,57,2.8,2000,16.6,3.02
1072,27.1,44,5,2000,13.7,2.8
1041,26.9,60,2.3,1592,18.4,1.67
1213,24.2,50,3.8,2000,13.1,2.85
1273,25.2,36,2.4,1995,9,2.93
1220,25.9,39,1.2,1950,10.8,2.89
1095,26.7,40,1.4,2000,11.9,2.92
1192,24.5,40,1.3,1973,10,2.64
1165,26.3,44,1.2,1966,13,2.91
1119,24.3,59,1.5,2000,15.7,1.12
1088,25.3,56,1.2,1960,15.8,1.35
1284,25.4,63,0.9,2000,17.8,1.01
989,23.7,64,1.9,1474,16.4,0.79
1083,25.2,50,1.7,1710,14,2.83
0,24.7,43,1.8,1809,11.2,1.75
0,24.9,51,1.2,1619,14,1.56
180,19,91,1.7,965,17.4,0.67
143,19.1,91,2,1971,17.5,0.63
1273,24.2,43,2.2,1798,10.8,2.31
1358,22.5,37,1.8,2000,7,2.5
1189,23.2,42,1.4,2000,9.5,2.73
0,19,52,1.2,2000,8.9,0.98
1495,23.8,44,1.7,2000,10.8,2.66
0,20.8,47,3.1,1665,9,2
1138,18.4,40,3.5,1958,4.5,2.28
0,19.4,41,3.1,1956,5.7,2.67
0,23.2,38,1.7,1990,8,2.44
23,16.6,90,1.7,518,14.9,0.51
130,18,92,2.9,1999,16.6,0.45
1516,19.8,46,2.5,1837,7.8,2.3
1238,19.2,31,0.5,1994,1.6,2.4
1006,13.7,43,3.4,1980,1.3,1.65
967,13.2,31,3.8,2000,-3.5,2.58
